movie_title,genres,gross,imdb_score,director_name,actor_1_name,actor_2_name,actor_3_name,,,
Mystery Men,Action Comedy Fantasy Sci-Fi,29655590,6,Kinka Usher,Janeane Garofalo,Wes Studi,Eddie Izzard,,,
Hall Pass,Comedy Romance,45045037,5.9,Bobby Farrelly,Jenna Fischer,Larry Joe Campbell,Stephen Merchant,,,
The Insider,Biography Drama Thriller,28965197,7.9,Michael Mann,Al Pacino,Rip Torn,Debi Mazar,,,
The Finest Hours,Action Drama History Thriller,27550735,6.8,Craig Gillespie,Michael Raymond-James,Abraham Benrubi,Graham McTavish,,,
Body of Lies,Action Drama Thriller,39380442,7.1,Ridley Scott,Leonardo DiCaprio,Simon McBurney,Michael Gaston,,,
Dinner for Schmucks,Comedy,72980108,5.9,Jay Roach,Steve Carell,Stephanie Szostak,Bruce Greenwood,,,
Abraham Lincoln: Vampire Hunter,Action Fantasy Horror,37516013,5.9,Timur Bekmambetov,Rufus Sewell,Dominic Cooper,Benjamin Walker,,,
Entrapment,Action Crime Romance Thriller,87704396,6.2,Jon Amiel,Will Patton,Kevin McNally,Maury Chaykin,,,
Last Man Standing             ,Comedy,,7.4,,Hector Elizondo,Kaitlyn Dever,Nancy Travis,,,
The X Files,Drama Mystery Sci-Fi Thriller,83892374,7,Rob Bowman,Martin Landau,Mitch Pileggi,Jeffrey DeMunn,,,
The Last Legion,Action Adventure Fantasy War,5932060,5.4,Doug Lefler,Colin Firth,Nonso Anozie,Owen Teale,,,
Saving Private Ryan,Action Drama War,216119491,8.6,Steven Spielberg,Tom Hanks,Vin Diesel,Matt Damon,,,
Need for Speed,Action Crime Drama Thriller,43568507,6.5,Scott Waugh,Rami Malek,Dominic Cooper,Ramon Rodriguez,,,
What Women Want,Comedy Fantasy Romance,182805123,6.4,Nancy Meyers,Judy Greer,Lisa Edelstein,Loretta Devine,,,
Ice Age,Adventure Animation Comedy Family,176387405,7.6,Chris Wedge,Goran Visnjic,Stephen Root,Denis Leary,,,
Dreamcatcher,Drama Horror Sci-Fi Thriller,33685268,5.5,Lawrence Kasdan,Morgan Freeman,Michael O'Neill,Reece Thompson,,,
Lincoln,Biography Drama History War,182204440,7.4,Steven Spielberg,Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill,,,
The Matrix,Action Sci-Fi,171383253,8.7,Lana Wachowski,Keanu Reeves,Marcus Chong,Gloria Foster,,,
Apollo 13,Adventure Drama History,172071312,7.6,Ron Howard,Tom Hanks,Miko Hughes,Kathleen Quinlan,,,
Total Recall,Action Sci-Fi,119412921,7.5,Paul Verhoeven,Ronny Cox,Rachel Ticotin,Marshall Bell,,,
The Santa Clause 2,Comedy Family Fantasy,139225854,5.5,Michael Lembeck,Judge Reinhold,Aisha Tyler,Eric Lloyd,,,
Less Misrables,Drama Musical Romance,148775460,7.6,Tom Hooper,Hugh Jackman,Eddie Redmayne,Anne Hathaway,,,
You've Got Mail,Comedy Drama Romance,115731542,6.5,Nora Ephron,Tom Hanks,Jean Stapleton,Dave Chappelle,,,
Step Brothers,Comedy,100468793,6.9,Adam McKay,Will Ferrell,Adam Scott,Andrea Savage,,,
The Mask of Zorro,Action Adventure Comedy Romance Thriller Western,93771072,6.7,Martin Campbell,Anthony Hopkins,Tony Amendola,Stuart Wilson,,,
Due Date,Comedy Drama,100448498,6.6,Todd Phillips,Robert Downey Jr.,RZA,Matt Walsh,,,
Unbroken,Biography Drama Sport War,115603980,7.2,Angelina Jolie Pitt,Finn Wittrock,Jack O'Connell,Alex Russell,,,
Space Cowboys,Action Adventure Thriller,90454043,6.4,Clint Eastwood,Clint Eastwood,Courtney B. Vance,William Devane,,,
Cliffhanger,Action Adventure Thriller,84049211,6.4,Renny Harlin,Sylvester Stallone,Leon,Janine Turner,,,
Broken Arrow,Action Crime Thriller,70450000,6,John Woo,Delroy Lindo,Samantha Mathis,Bob Gunton,,,
The Kid,Comedy Family Fantasy,69688384,6.1,Jon Turteltaub,Bruce Willis,Lily Tomlin,Daniel von Bargen,,,
World Trade Center,Drama History Thriller,70236496,6,Oliver Stone,Nicolas Cage,Jay Hernandez,Armando Riesco,,,
Mona Lisa Smile,Drama,63695760,6.4,Mike Newell,Julia Roberts,Kirsten Dunst,Marian Seldes,,,
The Dictator,Comedy Romance,59617068,6.4,Larry Charles,Sayed Badreya,Aasif Mandvi,Horatio Sanz,,,
Eyes Wide Shut,Drama Mystery Thriller,55637680,7.3,Stanley Kubrick,Tom Cruise,Vinessa Shaw,Sydney Pollack,,,
Annie,Comedy Drama Family Musical,85911262,5.2,Will Gluck,Quvenzhané Wallis,Dorian Missick,David Zayas,,,
Focus,Comedy Crime Drama Romance,53846915,6.6,Glenn Ficarra,Will Smith,Adrian Martinez,Gerald McRaney,,,
This Means War,Action Comedy Romance,54758461,6.3,McG,Tom Hardy,Abigail Spencer,Warren Christie,,,
Blade: Trinity,Action Adventure Fantasy Horror Sci-Fi Thriller,52397389,5.9,David S. Goyer,Ryan Reynolds,Natasha Lyonne,John Michael Higgins,,,
Red Dawn,Action Drama War,,6.4,John Milius,Lea Thompson,Jennifer Grey,William Smith,,,
Primary Colors,Comedy Drama,38966057,6.7,Mike Nichols,Maura Tierney,Adrian Lester,Paul Guilfoyle,,,
Resident Evil: Retribution,Action Horror Sci-Fi Thriller,42345531,5.4,Paul W.S. Anderson,Milla Jovovich,Boris Kodjoe,Bingbing Li,,,
Death Race,Action Sci-Fi Thriller,36064910,6.4,Paul W.S. Anderson,Jason Statham,Max Ryan,Joan Allen,,,
The Long Kiss Goodnight,Action Crime Drama Mystery Thriller,33328051,6.7,Renny Harlin,Melina Kanakaredes,Craig Bierko,Yvonne Zima,,,
Proof of Life,Action Drama Thriller,32598931,6.2,Taylor Hackford,Pamela Reed,Alun Armstrong,Michael Kitchen,,,
Zathura: A Space Adventure,Action Adventure Comedy Family Fantasy Sci-Fi,28045540,6.1,Jon Favreau,Kristen Stewart,Josh Hutcherson,Jonah Bobo,,,
Fight Club,Drama,37023395,8.8,David Fincher,Brad Pitt,Meat Loaf,Eugenie Bondurant,,,
We Are Marshall,Drama Sport,43532294,7.1,McG,Matthew McConaughey,Kimberly Williams-Paisley,Brian Geraghty,,,
The Missing         ,Crime Drama Mystery,,8.1,,Jason Flemyng,James Nesbitt,Frances O'Connor,,,
Hudson Hawk,Action Adventure Comedy,17218080,5.7,Michael Lehmann,Bruce Willis,James Coburn,Richard E. Grant,,,
Lucky Numbers,Comedy Crime,10014234,5,Nora Ephron,Michael Rapaport,Michael Moore,Richard Schiff,,,
Oliver Twist,Crime Drama,1987287,6.9,Roman Polanski,Ian McNeice,Barney Clark,Tony Noble,,,
Elektra,Action Crime Fantasy Thriller,24407944,4.8,Rob Bowman,Jennifer Garner,Cary-Hiroyuki Tagawa,Goran Visnjic,,,
Sin City: A Dame to Kill For,Action Crime Thriller,13750556,6.5,Frank Miller,Joseph Gordon-Levitt,Bruce Willis,Eva Green,,,
Random Hearts,Drama Mystery Romance,31054924,5.1,Sydney Pollack,Harrison Ford,Kristin Scott Thomas,Bill Cobbs,,,
Everest,Adventure Biography Drama History Sport Thriller,43247140,7.1,Baltasar Kormákur,Michael Kelly,Martin Henderson,Tom Goodman-Hill,,,
Perfume: The Story of a Murderer,Crime Drama Fantasy,2208939,7.5,Tom Tykwer,Michael Smiley,David Calder,Simon Chandler,,,
Austin Powers in Goldmember,Action Comedy Crime,213079163,6.2,Jay Roach,Verne Troyer,Josh Zuckerman,Robert Wagner,,,
Astro Boy,Action Animation Comedy Family Sci-Fi,19548064,6.3,David Bowers,Nicolas Cage,Charlize Theron,Dee Bradley Baker,,,
Jurassic Park,Adventure Sci-Fi Thriller,356784000,8.1,Steven Spielberg,Wayne Knight,Ariana Richards,Bob Peck,,,
Wyatt Earp,Adventure Biography Crime Drama Western,25052000,6.6,Lawrence Kasdan,Dennis Quaid,Catherine O'Hara,Isabella Rossellini,,,
Clear and Present Danger,Action Crime Drama Thriller,122012710,6.9,Phillip Noyce,Harrison Ford,Dean Jones,Raymond Cruz,,,
Dragon Blade,Action Adventure Drama History,72413,6.1,Daniel Lee,Si Won Choi,Peng Lin,Sung-jun Yoo,,,
Littleman,Comedy Crime,58255287,4.3,Keenen Ivory Wayans,Chazz Palminteri,Brittany Daniel,John Witherspoon,,,
U-571,Action War,77086030,6.6,Jonathan Mostow,Matthew McConaughey,Thomas Kretschmann,David Keith,,,
The American President,Comedy Drama Romance,65000000,6.8,Rob Reiner,Shawna Waldron,Samantha Mathis,Wendie Malick,,,
The Love Guru,Comedy Romance Sport,32178777,3.8,Marco Schnabel,Justin Timberlake,Romany Malco,Verne Troyer,,,
3000 Miles to Graceland,Action Comedy Crime Thriller,15738632,5.9,Demian Lichtenstein,Jon Lovitz,Bokeem Woodbine,Ice-T,,,
The Hateful Eight,Crime Drama Mystery Thriller Western,54116191,7.9,Quentin Tarantino,Craig Stark,Jennifer Jason Leigh,Zoë Bell,,,
Blades of Glory,Comedy Sport,118153533,6.3,Josh Gordon,Will Ferrell,Amy Poehler,Jon Heder,,,
Hop,Adventure Animation Comedy Family Fantasy,108012170,5.5,Tim Hill,Gary Cole,Elizabeth Perkins,Chelsea Handler,,,
300,Action Drama Fantasy War,210592590,7.7,Zack Snyder,Gerard Butler,Michael Fassbender,Vincent Regan,,,
Meet the Fockers,Comedy Romance,279167575,6.3,Jay Roach,Robert De Niro,Blythe Danner,Teri Polo,,,
Marley & Me,Comedy Drama Family,143151473,7.1,David Frankel,Eric Dane,Kathleen Turner,Haley Bennett,,,
The Green Mile,Crime Drama Fantasy Mystery,136801374,8.5,Frank Darabont,Tom Hanks,Jeffrey DeMunn,Michael Jeter,,,
Wild Hogs,Action Adventure Comedy,168213584,5.9,Walt Becker,Jill Hennessy,Tichina Arnold,Drew Sidora,,,
Chicken Little,Adventure Animation Comedy Family Sci-Fi,135381507,5.8,Mark Dindal,Catherine O'Hara,Fred Willard,Amy Sedaris,,,
Gone Girl,Crime Drama Mystery Thriller,167735396,8.1,David Fincher,Patrick Fugit,Sela Ward,Emily Ratajkowski,,,
The Bourne Identity,Action Mystery Thriller,121468960,7.9,Doug Liman,Matt Damon,Josh Hamilton,Nicky Naudé,,,
GoldenEye,Action Adventure Thriller,106635996,7.2,Martin Campbell,Izabella Scorupco,Joe Don Baker,Tchéky Karyo,,,
The General's Daughter,Drama Mystery Thriller,102678089,6.3,Simon West,Daniel von Bargen,Timothy Hutton,Clarence Williams III,,,
The Truman Show,Comedy Drama Sci-Fi,125603360,8.1,Peter Weir,Natascha McElhone,Noah Emmerich,Peter Krause,,,
The Prince of Egypt,Adventure Animation Biography Drama Family Fantasy Musical,101217900,7,Brenda Chapman,Martin Short,Aria Noelle Curzon,Eden Riegel,,,
Daddy Day Care,Comedy Family,104148781,5.5,Steve Carr,Anjelica Huston,Lisa Edelstein,Jeff Garlin,,,
2 Guns,Action Comedy Crime Drama Thriller,75573300,6.7,Baltasar Kormákur,Denzel Washington,Patrick Fischler,Fred Ward,,,
Cats & Dogs,Action Comedy Family Fantasy,93375151,5.2,Lawrence Guterman,Carol Ann Susi,Elizabeth Perkins,Miriam Margolyes,,,
The Italian Job,Action Crime Thriller,106126012,7,F. Gary Gray,Jason Statham,Charlize Theron,Jimmy Shubert,,,
Two Weeks Notice,Comedy Romance,93307796,6.1,Marc Lawrence,Dorian Missick,Alicia Witt,Dana Ivey,,,
Antz,Adventure Animation Comedy Family,90646554,6.6,Eric Darnell,Sylvester Stallone,Woody Allen,Anne Bancroft,,,
Couples Retreat,Comedy,109176215,5.5,Peter Billingsley,Jon Favreau,Kristin Davis,Tasha Smith,,,
Days of Thunder,Action Drama Sport,82670733,5.9,Tony Scott,Tom Cruise,Robert Duvall,Randy Quaid,,,
Cheaper by the Dozen 2,Adventure Comedy Family,82569532,5.4,Adam Shankman,Taylor Lautner,Tom Welling,Alyson Stoner,,,
The Scorch Trials,Action Sci-Fi Thriller,81687587,6.4,Wes Ball,Ki Hong Lee,Lili Taylor,Rosa Salazar,,,
Eat Pray Love,Drama Romance,80574010,5.7,Ryan Murphy,James Franco,Julia Roberts,Billy Crudup,,,
The Family Man,Comedy Drama Fantasy Romance,75764085,6.7,Brett Ratner,Nicolas Cage,Don Cheadle,Amber Valletta,,,
RED,Action Comedy Crime Thriller,90356857,7.1,Robert Schwentke,Bruce Willis,Morgan Freeman,Jaqueline Fleming,,,
Any Given Sunday,Drama Sport,75530832,6.8,Oliver Stone,Al Pacino,Dennis Quaid,LL Cool J,,,
The Horse Whisperer,Drama Romance Western,75370763,6.5,Robert Redford,Scarlett Johansson,Kristin Scott Thomas,Jessalyn Gilsig,,,
Collateral,Crime Drama Thriller,100003492,7.6,Michael Mann,Tom Cruise,Jada Pinkett Smith,Debi Mazar,,,
The Scorpion King,Action Adventure Fantasy Thriller,90341670,5.5,Chuck Russell,Dwayne Johnson,Roger Rees,Bernard Hill,,,
Ladder 49,Action Drama Thriller,74540762,6.5,Jay Russell,Billy Burke,Jay Hernandez,Jacinda Barrett,,,
Jack Reacher,Action Crime Mystery Thriller,80033643,7,Christopher McQuarrie,Tom Cruise,Robert Duvall,David Oyelowo,,,
Deep Blue Sea,Action Sci-Fi Thriller,73648142,5.8,Renny Harlin,LL Cool J,Michael Rapaport,Saffron Burrows,,,
Contagion,Drama Thriller,75638743,6.6,Steven Soderbergh,Matt Damon,Monique Gabriela Curnen,Griffin Kane,,,
Kangaroo Jack,Action Adventure Comedy Crime,66734992,4.4,David McNally,Estella Warren,Dyan Cannon,Bill Hunter,,,
Coraline,Animation Family Fantasy,75280058,7.7,Henry Selick,Jennifer Saunders,Dawn French,John Hodgman,,,
The Happening,Sci-Fi Thriller,64505912,5,M. Night Shyamalan,Zooey Deschanel,Alan Ruck,Kristen Connolly,,,
Man on Fire,Action Crime Drama Thriller,77862546,7.7,Tony Scott,Denzel Washington,Radha Mitchell,Giancarlo Giannini,,,
The Shaggy Dog,Comedy Family Fantasy,61112916,4.4,Brian Robbins,Robert Downey Jr.,Joel David Moore,Kristin Davis,,,
Starsky & Hutch,Comedy Crime,88200225,6.1,Todd Phillips,Snoop Dogg,Carmen Electra,Fred Williamson,,,
Jingle All the Way,Comedy Family,60573641,5.4,Brian Levant,Jim Belushi,Harvey Korman,Jake Lloyd,,,
Hellboy,Action Fantasy Horror Sci-Fi,59035104,6.8,Guillermo del Toro,James Babson,Rupert Evans,Brian Steele,,,
A Civil Action,Drama,56702901,6.5,Steven Zaillian,Robert Duvall,Kathleen Quinlan,Sydney Pollack,,,
ParaNorman,Adventure Animation Comedy Family Fantasy,55994557,7,Chris Butler,Anna Kendrick,Kodi Smit-McPhee,Elaine Stritch,,,
The Jackal,Action Adventure Crime Thriller,54910560,6.3,Michael Caton-Jones,J.K. Simmons,Bruce Willis,Sophie Okonedo,,,
Paycheck,Action Mystery Sci-Fi Thriller,53789313,6.3,John Woo,Ivana Milicevic,Joe Morton,Callum Rennie,,,
Up Close & Personal,Drama Romance,51045801,6.1,Jon Avnet,Joe Mantegna,Stockard Channing,Raymond Cruz,,,
The Tale of Despereaux,Adventure Animation Comedy Family Fantasy,50818750,6.1,Sam Fell,Emma Watson,Matthew Broderick,Frank Langella,,,
Rules of Engagement,Comedy Romance,,7.3,,Bianca Kajlich,Oliver Hudson,Adhir Kalyan,,,
The Tuxedo,Action Comedy Sci-Fi,50189179,5.3,Kevin Donovan,Romany Malco,Debi Mazar,Ritchie Coster,,,
Under Siege 2: Dark Territory,Action Thriller,50024083,5.4,Geoff Murphy,Peter Greene,Brenda Bakke,Patrick Kilpatrick,,,
Jack Ryan: Shadow Recruit,Action Drama Thriller,50549107,6.2,Kenneth Branagh,Colm Feore,Nonso Anozie,Gemma Chan,,,
Joy,Biography Comedy Drama,56443482,6.6,David O. Russell,Jennifer Lawrence,Robert De Niro,Bradley Cooper,,,
London Has Fallen,Action Crime Drama Thriller,62401264,5.9,Babak Najafi,Gerard Butler,Radha Mitchell,Julian Kostov,,,
Alien: Resurrection,Action Horror Sci-Fi,47748610,6.3,Jean-Pierre Jeunet,Gary Dourdan,Michael Wincott,Raymond Cruz,,,
Shooter,Action Crime Drama Mystery Thriller,46975183,7.2,Antoine Fuqua,Tate Donovan,Ned Beatty,Louis Ferreira,,,
The Boxtrolls,Adventure Animation Comedy Family Fantasy,50807639,6.8,Graham Annable,Isaac Hempstead Wright,Dee Bradley Baker,Tracy Morgan,,,
Practical Magic,Comedy Drama Fantasy Romance,46611204,6.1,Griffin Dunne,Goran Visnjic,Dianne Wiest,Stockard Channing,,,
The Lego Movie,Action Adventure Animation Comedy Family Fantasy,257756197,7.8,Phil Lord,Morgan Freeman,Will Ferrell,Alison Brie,,,
Miss Congeniality 2: Armed and Fabulous,Action Comedy Crime,48472213,5,John Pasquin,Eileen Brennan,Diedrich Bader,Treat Williams,,,
Reign of Fire,Action Adventure Fantasy Sci-Fi Thriller,43060566,6.2,Rob Bowman,Christian Bale,Gerard Butler,Matthew McConaughey,,,
Gangster Squad,Action Crime Drama Thriller,45996718,6.7,Ruben Fleischer,Ryan Gosling,Brandon Molale,Wade Williams,,,
Year One,Adventure Comedy,43337279,4.9,Harold Ramis,Olivia Wilde,Oliver Platt,Xander Berkeley,,,
Invictus,Biography Drama History Sport,37479778,7.4,Clint Eastwood,Matt Damon,Morgan Freeman,Leleti Khumalo,,,
State of Play,Crime Drama Mystery Thriller,36965395,7.1,Kevin Macdonald,Robin Wright,Harry Lennix,Michael Weston,,,
Duplicity,Comedy Crime Romance Thriller,40559930,6.2,Tony Gilroy,Julia Roberts,Tom Wilkinson,Denis O'Hare,,,
My Favorite Martian,Comedy Family Sci-Fi,36830057,4.9,Donald Petrie,Steven Anthony Lawrence,Ray Walston,Michael Lerner,,,
The Sentinel,Action Crime Thriller,36279230,6.1,Clark Johnson,Blair Brown,David Rasche,Martin Donovan,,,
Planet 51,Adventure Animation Comedy Family Sci-Fi,42194060,6.1,Jorge Blanco,Dwayne Johnson,Gary Oldman,James Corden,,,
Star Trek: Nemesis,Action Adventure Sci-Fi Thriller,43119879,6.4,Stuart Baird,Tom Hardy,LeVar Burton,Jonathan Frakes,,,
Intolerable Cruelty,Comedy Crime Romance,35096190,6.3,Joel Coen,Cedric the Entertainer,Paul Adelstein,Julia Duffy,,,
Trouble with the Curve,Drama Sport,35754555,6.8,Robert Lorenz,Clint Eastwood,Ed Lauter,Bob Gunton,,,
Edge of Darkness,Crime Drama Mystery Thriller,43290977,6.6,Martin Campbell,Bojana Novakovic,Ray Winstone,Denis O'Hare,,,
The Relic,Horror Mystery Sci-Fi Thriller,33927476,5.7,Peter Hyams,John Kapelos,Penelope Ann Miller,Chi Muoi Lo,,,
Analyze That,Comedy Crime,32122249,5.9,Harold Ramis,Robert De Niro,Cathy Moriarty,Joe Viterelli,,,
Righteous Kill,Action Crime Drama Mystery Thriller,40076438,6,Jon Avnet,Robert De Niro,Al Pacino,50 Cent,,,
Mercury Rising,Action Crime Drama Thriller,32940507,6.1,Harold Becker,Bruce Willis,Miko Hughes,Carrie Preston,,,
The Soloist,Biography Drama Music,31670931,6.7,Joe Wright,Robert Downey Jr.,Stephen Root,Rachael Harris,,,
The Legend of Bagger Vance,Drama Fantasy Sport,30695227,6.7,Robert Redford,Matt Damon,Will Smith,Charlize Theron,,,
Almost Famous,Adventure Comedy Drama Music,32522352,7.9,Cameron Crowe,Philip Seymour Hoffman,Zooey Deschanel,Michael Angarano,,,
Garfield 2,Animation Comedy Family Fantasy,28424210,5,Tim Hill,Bill Murray,Roger Rees,Ben Falcone,,,
xXx: State of the Union,Action Adventure Crime Thriller,26082914,4.3,Lee Tamahori,Sunny Mabrey,Nona Gaye,Xzibit,,,
Priest,Action Fantasy Horror Sci-Fi Thriller,29136626,5.7,Scott Stewart,Josh Wingate,Alan Dale,Jacob Hopkins,,,
Sinbad: Legend of the Seven Seas,Adventure Animation Comedy Drama Family Fantasy Romance,26288320,6.7,Patrick Gilmore,Brad Pitt,Adriano Giannini,Timothy West,,,
Event Horizon,Horror Sci-Fi Thriller,26616590,6.7,Paul W.S. Anderson,Sean Pertwee,Joely Richardson,Kathleen Quinlan,,,
The Avengers,Action Adventure Sci-Fi,623279547,8.1,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,,,
Dragonfly,Drama Fantasy Mystery Romance Thriller,30063805,6.1,Tom Shadyac,Joe Morton,Susanna Thompson,Matt Craven,,,
The Black Dahlia,Crime Drama Mystery Thriller,22518325,5.6,Brian De Palma,Scarlett Johansson,Mia Kirshner,Mike Starr,,,
Flyboys,Action Adventure Drama History Romance War,13082288,6.6,Tony Bill,James Franco,Tyler Labine,Philip Winchester,,,
The Last Castle,Action Drama Thriller,18208078,6.9,Rod Lurie,Clifton Collins Jr.,Delroy Lindo,Michael Irby,,,
Supernova,Horror Sci-Fi Thriller,14218868,4.8,Walter Hill,Robert Forster,Wilson Cruz,Vanessa Marshall,,,
Winter's Tale,Drama Fantasy Mystery Romance,22451,6.2,Akiva Goldsman,Matt Bomer,William Hurt,Kevin Corrigan,,,
The Mortal Instruments: City of Bones,Fantasy Horror Mystery Romance,31165421,6,Harald Zwart,Aidan Turner,Kevin Zegers,CCH Pounder,,,
Meet Dave,Adventure Comedy Family Romance Sci-Fi,11802056,4.9,Brian Robbins,Marc Blucas,Mike O'Malley,Shawn Christian,,,
Dark Water,Drama Horror Thriller,25472967,5.6,Walter Salles,Dougray Scott,Camryn Manheim,Ariel Gade,,,
Edtv,Comedy Drama,22362500,6.1,Ron Howard,Matthew McConaughey,Adam Goldberg,Clint Howard,,,
Inkheart,Adventure Family Fantasy,17281832,6.1,Iain Softley,Brendan Fraser,Stephen Graham,Jamie Foreman,,,
The Spirit,Action Crime Fantasy Thriller,19781879,4.8,Frank Miller,Scarlett Johansson,Jaime King,Louis Lombardi,,,
Mortdecai,Action Comedy Mystery Romance,7605668,5.5,David Koepp,Johnny Depp,Olivia Munn,Ulrich Thomsen,,,
In the Name of the King: A Dungeon Siege Tale,Action Adventure Fantasy Thriller,4535117,3.8,Uwe Boll,Jason Statham,Mike Dopud,Tania Saulnier,,,
Beyond Borders,Adventure Drama Romance War,4426297,6.5,Martin Campbell,Angelina Jolie Pitt,Teri Polo,Noah Emmerich,,,
Xi you ji zhi: Sun Wukong san da Baigu Jing,Action Adventure Fantasy,,6,Pou-Soi Cheang,Li Gong,Aaron Kwok,Eddie Peng,,,
Deadpool,Action Adventure Comedy Romance Sci-Fi,363024263,8.1,Tim Miller,Ryan Reynolds,Ed Skrein,Stefan Kapicic,,,
Holy Man,Comedy Drama,12065985,4.9,Stephen Herek,Kelly Preston,Morgan Fairchild,Eric McCormack,,,
American Sniper,Action Biography Drama History Thriller War,350123553,7.3,Clint Eastwood,Bradley Cooper,Leonard Roberts,Keir O'Donnell,,,
Goosebumps,Adventure Comedy Family Fantasy Horror,80021740,6.4,Rob Letterman,Odeya Rush,Dylan Minnette,Ken Marino,,,
Sabrina, the Teenage Witch             ,Comedy Family Fantasy,,6.6,,Nate Richert,Soleil Moon Frye,Caroline Rhea,,
Just Like Heaven,Comedy Fantasy Romance,48291624,6.7,Mark Waters,Jon Heder,Ivana Milicevic,Willie Garson,,,
The Flintstones in Viva Rock Vegas,Comedy Family Romance Sci-Fi,35231365,3.6,Brian Levant,Taylor Negron,Mark Addy,Danny Woodburn,,,
Rambo III,Action Adventure Thriller War,53715611,5.7,Peter MacDonald,Sylvester Stallone,Kurtwood Smith,Richard Crenna,,,
Leatherheads,Comedy Drama Romance Sport,31199215,6,George Clooney,Robert Baker,Malcolm Goodwin,Matt Bushell,,,
The Ridiculous 6,Comedy Western,,4.9,Frank Coraci,Taylor Lautner,Adam Sandler,Jon Lovitz,,,
Did You Hear About the Morgans?,Comedy Drama Romance,29580087,4.7,Marc Lawrence,Michael Kelly,Kim Shaw,Kevin Brown,,,
The Internship,Comedy,44665963,6.3,Shawn Levy,Josh Gad,Jessica Szohr,Rob Riggle,,,
Resident Evil: Afterlife,Action Adventure Horror Sci-Fi,60128566,5.9,Paul W.S. Anderson,Milla Jovovich,Boris Kodjoe,Shawn Roberts,,,
Red Tails,Action Adventure Drama History War,49875589,5.9,Anthony Hemingway,David Oyelowo,Nate Parker,Tristan Mack Wilds,,,
Sex and the City,Comedy Romance,,7,,Chris Noth,Kristin Davis,Cynthia Nixon,,,
The Devil's Advocate,Drama Mystery Thriller,60984028,7.5,Taylor Hackford,Keanu Reeves,Al Pacino,Charlize Theron,,,
That's My Boy,Comedy,36931089,5.6,Sean Anders,Adam Sandler,Leighton Meester,Will Forte,,,
DragonHeart,Action Adventure Fantasy,51317350,6.4,Rob Cohen,Dennis Quaid,Brian Thompson,Terry O'Neill,,,
After the Sunset,Action Comedy Crime Drama,28328132,6.3,Brett Ratner,Salma Hayek,Don Cheadle,Chris Penn,,,
Ghost Rider: Spirit of Vengeance,Action Fantasy Thriller,51774002,4.3,Mark Neveldine,Nicolas Cage,Spencer Wilding,Christopher Lambert,,,
Captain Corelli's Mandolin,Drama Music Romance War,25528495,5.9,John Madden,Christian Bale,Irene Papas,Mihalis Giannatos,,,
Anger Management            ,Comedy Romance,,6.7,,Barry Corbin,Noureen DeWulf,Brian Austin Green,,,
The Pacifier,Action Comedy Drama Family Thriller,113006880,5.5,Adam Shankman,Vin Diesel,Brad Garrett,Tate Donovan,,,
Walking Tall,Action Crime,45860039,6.2,Kevin Bray,Dwayne Johnson,Ashley Scott,Michael Bowen,,,
Forrest Gump,Comedy Drama,329691196,8.8,Robert Zemeckis,Tom Hanks,Siobhan Fallon Hogan,Sam Anderson,,,
Alvin and the Chipmunks,Animation Comedy Family Fantasy Music,217326336,5.2,Tim Hill,Jesse McCartney,Beth Riesgraf,Matthew Gray Gubler,,,
Meet the Parents,Comedy,166225040,7,Jay Roach,Robert De Niro,Blythe Danner,Teri Polo,,,
Pocahontas,Adventure Animation Drama Family History Musical Romance,141600000,6.6,Mike Gabriel,Christian Bale,Frank Welker,Irene Bedard,,,
Superman,Action Adventure Drama Romance Sci-Fi,134218018,7.3,Richard Donner,Marlon Brando,Margot Kidder,Ned Beatty,,,
The Nutty Professor,Comedy Romance Sci-Fi,128769345,5.6,Tom Shadyac,Jada Pinkett Smith,James Coburn,Dave Chappelle,,,
Hitch,Comedy Romance,177575142,6.6,Andy Tennant,Will Smith,Michael Rapaport,Kevin Sussman,,,
George of the Jungle,Action Adventure Comedy Family Romance,105263257,5.4,Sam Weisman,Brendan Fraser,Abraham Benrubi,Holland Taylor,,,
American Wedding,Comedy Romance,104354205,6.3,Jesse Dylan,Alyson Hannigan,Thomas Ian Nicholas,Fred Willard,,,
Captain Phillips,Biography Drama Thriller,107100855,7.9,Paul Greengrass,Tom Hanks,Chris Mulkey,Michael Chernus,,,
Date Night,Comedy Crime Romance Thriller,98711404,6.3,Shawn Levy,Mila Kunis,James Franco,Steve Carell,,,
Casper,Comedy Family Fantasy,100328194,6,Brad Silberling,Eric Idle,Fred Rogers,Cathy Moriarty,,,
The Equalizer,Action Crime Thriller,101530738,7.2,Antoine Fuqua,Denzel Washington,Chloë Grace Moretz,James Wilcox,,,
Maid in Manhattan,Comedy Drama Romance,93815117,5.1,Wayne Wang,Bob Hoskins,Frances Conroy,Natasha Richardson,,,
Crimson Tide,Action Drama Thriller War,91400000,7.3,Tony Scott,Denzel Washington,Viggo Mortensen,Ricky Schroder,,,
The Pursuit of Happyness,Biography Drama,162586036,8,Gabriele Muccino,Will Smith,Kurt Fuller,James Karen,,,
Flightplan,Drama Mystery Thriller,89706988,6.2,Robert Schwentke,Erika Christensen,Michael Irby,Haley Ramm,,,
Disclosure,Drama Thriller,83000000,6,Barry Levinson,Demi Moore,Dylan Baker,Roma Maffia,,,
